school,division,gender,jersey,name,position,class_year,height_in,hometown,major,club_team
Indiana,D1,W,12,Sloane May,F,Fr,69.0,"Fishers, Ind.",,
Indiana,D1,W,13,Paige Droner,M,Sr,66.0,"Chatham, N.J.",,
Indiana,D1,W,14,Emma Ehret,M,Fr,63.0,"Carmel, Ind.",,
Indiana,D1,W,15,Mary Kate Sullivan,F,Sr,68.0,"Cromwell, Conn.",,
Indiana,D1,W,16,Tori Brewer,F,So,67.0,"Carmel, Ind.",,
Indiana,D1,W,17,Blair Satterfield,D,Fr,66.0,"Fishers, Ind.",,
Indiana,D1,W,18,Krista Murphy,M,Sr,65.0,"Dedham, Mass.",,
Indiana,D1,W,19,Riley Boyd,F,Fr,68.0,"Fishers, Ind.",,
Indiana,D1,W,20,Haden Vlcek,D,Jr,73.0,"Springfield, Ill.",,
Indiana,D1,W,21,Grace Hamm,D,So,65.0,"San Marcos, Calif.",,
Indiana,D1,W,22,Piper Coffield,D,Sr,68.0,"Mars, Penn.",,
Indiana,D1,W,23,Amaya Falzarano,F,Fr,63.0,"Charlotte, N.C.",,
Indiana,D1,W,25,Josie Pratl,D,Jr,66.0,"St. Louis, Mo.",,
Indiana,D1,W,27,Ava Legault,M,Jr,62.0,"Richmond, Va.",,
Indiana,D1,W,33,Emma Payton,GK,Sr,67.0,"Austin, Texas",,
Indiana,D1,W,34,Tyler Roberts,GK,Fr,70.0,"Tacoma, Wash.",,
Indiana,D1,W,36,Kendell Williams,GK,Fr,69.0,"Lincolnshire, Ill.",,
Georgetown,D1,M,1,Tenzing Manske,GK,Sr,,"Santa Fe, N.M.",,
Georgetown,D1,M,2,Jack Lindimore,D,So,,"New Albany, Ohio",,
Georgetown,D1,M,3,Eric Howard,M,Jr,,"Redmond, Wash.",,
Georgetown,D1,M,4,Oliver Stafford,D,Jr,,"Katonah, N.Y.",,
Georgetown,D1,M,5,Miles Avery,D,Sr,,"Washington, D.C.",,
Georgetown,D1,M,6,Diego Letayf,M,Sr,,"Southlake, Texas",,
Georgetown,D1,M,7,Max Viera,M,Sr,,"Burbank, Ill.",,
Georgetown,D1,M,8,Matthew Van Horn,M,Jr,,"North Pole, Alaska",,
Georgetown,D1,M,9,Mitchell Baker,F,So,,"Melbourne, Australia",,
Georgetown,D1,M,10,Mateo Ponce Ocampo,M,Jr,,"Harrison, N.Y.",,
Georgetown,D1,M,11,David Urrutia,M,So,,"New Rochelle, N.Y.",,
Georgetown,D1,M,12,Casey Milliken,M,Fr,,"Easton, Mass.",,
Georgetown,D1,M,13,Aidan Godinho,M,So,,"Longwood, Fla.",,
Georgetown,D1,M,14,Noah Satriano,M,Fr,,"Bethesda, Md.",,
Georgetown,D1,M,15,Loukas Maroutsis,M,Fr,,"Athens, Greece",,
Georgetown,D1,M,16,Jack Brown,M,So,,"Lititz, Pa.",,
Georgetown,D1,M,17,Julian Barrios Cristales,M,Sr,,"Chesapeake, Va.",,
Georgetown,D1,M,18,Tim Logan,M,Fr,,"Florham Park, N.J.",,
Georgetown,D1,M,19,Zach Zengue,M,Sr,,"North Oaks, Minn.",,
Georgetown,D1,M,20,Matthew Helfrich,M,Jr,,"McLean, Va.",,
Georgetown,D1,M,21,Zayan Ahmed,M,So,,"Allen, Texas.",,
Georgetown,D1,M,22,Jack Heaps,M,Jr,,"Birmingham, Ala.",,
Georgetown,D1,M,23,Charlie Rosenthal,M,Fr,,"Hermosa Beach, Calif.",,
Georgetown,D1,M,24,Charlie DeMarco,GK,So,,"New York, N.Y.",,
Georgetown,D1,M,25,Tate Lampman,D,So,,"Ann Arbor, Mich.",,
Georgetown,D1,M,26,Will Caldwell,D,Fr,,"Newcastle, England",,
Georgetown,D1,M,27,Jordi Sada-Paz,F,So,,"London, England",,
Georgetown,D1,M,30,Dmytro Torubara,GK,Fr,,"Kyiv, Ukraine",,
Georgetown,D1,W,00,Alexa Hadley,GK,Jr,,"New Lenox, Ill.",,
Georgetown,D1,W,1,Cara Martin,GK,Sr,,"Alexandria, Va.",,
Georgetown,D1,W,2,Mary Cochran,M,Sr,,"Delray Beach, Fla.",,
Georgetown,D1,W,3,Liv Villella,D,Jr,,"Cold Spring, N.Y.",,
Georgetown,D1,W,4,Katie Keefe,D,Jr,,"Basking Ridge, N.J.",,
Georgetown,D1,W,5,Cassie Delinsky,D,So,,"Washington, D.C.",,
Georgetown,D1,W,6,Natalie Means,F,Sr,,"Lafayette, Calif.",,
Georgetown,D1,W,7,Jamie Covitz,M,So,,"Washington, D.C.",,
Georgetown,D1,W,8,Aliza Mannon,F,Fr,,"Knoxville, Tenn.",,
Georgetown,D1,W,9,Maja Lardner,F,Sr,,"Dallas, Texas",,
Georgetown,D1,W,10,Aaliyah Pitts,D,Fr,,"Lutz, Fla.",,
Georgetown,D1,W,11,Lizzie Heller,M,So,,"Atlanta, Ga.",,
Georgetown,D1,W,12,Esme Brayshaw,F,Sr,,"New York City, N.Y.",,
Georgetown,D1,W,13,Kaya Hanson,D,Jr,,"Seattle, Wash.",,
Georgetown,D1,W,15,Isabel Boodell,D,Jr,,"Edgemont, N.Y.",,
Georgetown,D1,W,16,Maya Wiese,M,Jr,,"Bethesda, Md.",,
Georgetown,D1,W,17,Abby Droner,F,Fr,,"Chatham, N.J.",,
Georgetown,D1,W,18,Maddy Nylen,M,Fr,,"Scituate, Mass.",,
Georgetown,D1,W,21,Caroline Spengler,M,So,,"Fairfield, Conn.",,
Georgetown,D1,W,23,Lily Froehlich,D,Sr,,"Rumson, N.J.",,
Georgetown,D1,W,24,Ellen Carter,D,Sr,,"Hermosa Beach, Calif.",,
Georgetown,D1,W,26,Jocelyn Lohmeyer,F,So,,"Vienna, Va.",,
Georgetown,D1,W,27,Henley Tippins,F,Sr,,"Atlanta, Ga.",,
Georgetown,D1,W,28,Shay Montgomery,M,Sr,,"Arlington, Va.",,
Georgetown,D1,W,30,Sophia Kavulich,GK,Sr,,"Pennington, N.J.",,
Georgetown,D1,W,33,Evelyn Casadaban,D,Jr,,"Arlington, Va.",,
Georgetown,D1,W,44,Cameron Gabrielson,GK,So,,"Portland, Ore.",,
Wake Forest,D1,M,0,Jonah Mednard,GK,Jr,74.0,"Congers, N.Y.",,
Wake Forest,D1,M,1,John Di Stefano,GK,So,74.0,"Syosset, N.Y.",,
Wake Forest,D1,M,2,Miles Hadley,D,Jr,72.0,"Atlanta, Ga.",,
Wake Forest,D1,M,3,Travis Smith Jr.,D,Sr,73.0,"Louisville, Ky.",,
